Catégorie;Code;Dénomination;Unité;Déboursé HT (€);Note
"Gros Oeuvre";"Gros œuvre";"PV raidisseur horizontal";"ML";"26.88";""
"Gros Oeuvre";"Gros œuvre";"PV raidisseur vertical";"ML";"24";""
"Gros Oeuvre";"Gros œuvre";"PV raidisseur Vertical";"ML";"24";""
"Gros Oeuvre";"Gros œuvre";"Raccordement au réseau principal";"F";"784";""
"Gros Oeuvre";"Gros oeuvre";"Raccordement du drain au réseau existant ";"F";"310.5";""
"Gros Oeuvre";"Gros œuvre";"Ragréage finitions et sous enduits ";"F";"360";""
"Gros Oeuvre";"Gros oeuvre";"Raidisseur BA";"ml";"25.2";""
"Gros Oeuvre";"GO";"Régalage de terre végétale. Travaux comprenant le nivellement du terrain, le cassage des mottes de terre et le d’épierrement suivant besoins, pour obtenir un profil régulier.";"Ens";"1";""
"Gros Oeuvre";"Gros œuvre";"Remblaie périphérique";"F";"247";""
"Gros Oeuvre";"Gros oeuvre";"Remblai périphérique en matériaux noble";"F";"789.75";""
"Gros Oeuvre";"Gros oeuvre";"Remblais des déblais inertes stockés";"m3";"30";""
"Gros Oeuvre";"GO";"Repliement du matériel, nettoyage final et évacuation des gravats et déchets en décharges spécialisées, DOE, Notes de calculs, Plans de récolement";"F";"5.5";""
"Gros Oeuvre";"GO";"Reprise des feuillures suite à dépose des portes et selon caractéristiques attendues par le lot Menuiseries extérieures - Serrurerie";"Ens.";"41";""
"Gros Oeuvre";"Gros oeuvre";"Reprise du jambage suite dépose ";"U";"100";""
"Gros Oeuvre";"Gros œuvre";"Réseaux sous dallage";"F";"520";""
"Gros Oeuvre";"Gros œuvre";"Soubassement B80 ht 40 cm";"M²";"55.68";""
"Gros Oeuvre";"Gros oeuvre";"Sous-enduit de finition extérieur";"m²";"22.5";""
"Gros Oeuvre";"GO";"Taille et/ou arrachage et évacuation des arbustes et remise en plantation d'arbustes pour mise en place des clôture rigides";"Ens";"1";""
"Gros Oeuvre";"Gros oeuvre";"Terrassement dallage garage";"F";"1485";""
"Gros Oeuvre";"Gros oeuvre";"Terrassement fondation manuel";"F";"494.1";""
"Gros Oeuvre";"Gros oeuvre";"Terrassement fondation mur";"m3";"74.34";""
"Gros Oeuvre";"Gros œuvre";"Terrassement fondations avec petit engins";"M3";"140";""
"Gros Oeuvre";"Gros œuvre";"Traitement des joints de dilatations ";"F";"194.4";""
"Electricité";"";"Création,fourniture,pose et raccordement de 6
points lumineux en plafonnier commandé par un 
interrupteur simple allumage";"U";"230";""
"Electricité";"";"Création,fourniture,pose et raccordement de
trois points lumineux commandé par un interrupteur simple";"U";"170";""
"Electricité";"";"Création,fourniture,pose et raccordement de trois points lumineux en plafonnier commandé par deux
interrupteur va et vient";"U";"200";""
"Electricité";"";"Création,fourniture,pose et raccordement d’une prise
RJ45 dépuis le tableau de communication";"U";"150";""
"Electricité";"";"Création, fourniture, pose et raccordement d'une prise USB/USBC";"U";"130";""
"Electricité";"";"Forfait dépose et mise en sécurité de l’installation existante";"U";"200";""
"Electricité";"";"Fourniture et pose d’une gaine en attente pour arrivée fibre";"U";"150";""
"Electricité";"";"Fourniture et pose d'un radiateur à inertie 1000W";"U";"273";""
"Electricité";"";"Fourniture et pose d'un sèche serviette électrique ";"U";"260";""
"Electricité";"";"Fourniture et pose d'un tableau 4 rangées ";"F";"2225";""
"Electricité";"";"Fourniture, pose et raccordement de 1 applique";"U";"195";""
"Electricité";"";"Fourniture, pose et raccordement de 2 points lumineux commandé par 2 interrupteur va et vient";"U";"312";""
"Electricité";"";"Fourniture, pose et raccordement de 3 points lumineux commandé par 2 interrupteur va et vient";"U";"338";""
"Electricité";"";"Fourniture, pose et raccordement de  points lumineux commandé par un interrupteur double";"U";"130";""
"Electricité";"";"Fourniture, pose et raccordement de  points lumineux commandé par un interrupteur va et vient";"U";"150";""
"Electricité";"";"Fourniture, pose et raccordement de prise de courant 2P +T double";"U";"169";""
"Electricité";"";"Fourniture, pose et raccordement de prise de courant 2P+T double";"U";"130";""
"Electricité";"";"Fourniture, pose et raccordement de spots étanche commandé par un interrupteur simple";"U";"61.43";""
"Electricité";"";"Fourniture, pose et raccordement de spots leds";"U";"40";""
"Electricité";"";"Fourniture, pose et raccordement d'une prise de courant 2P +T";"U";"156";""
"Electricité";"";"Fourniture, pose et raccordement d'un point lumineux commandé par prise simple ";"U";"247";""
"Electricité";"";"Fourniture, pose et raccordement d'un point lumineux en applique commandé par un interrupteur simple";"U";"110";""
"Electricité";"";"Fourniture, pose et raccordement  d'un point lumineux en applique commandé par un interrupteur va et vient";"U";"150";""
"Electricité";"";"Fourniture,pose et raccordement d’un tableau de
communication avec emplacement de boxe";"U";"300";""
"Electricité";"";"Fourniture, tirage d'alimentation pour sèche serviette";"U";"195";""
"Electricité";"";"Fourniture, tirage d'une alimentation pour VMC";"U";"195";""
"Menuiserie Ext";"Mext";"Fourniture de porte d'entrée loison Aluminium 900x2150 mm (modèle à confirmé)";"U";"1725.3";""
