Code;Catégorie;Dénomination;Unité;Prix HT;Temps estimé (min);Description
ELE-023;Electricité;Fourniture, pose et raccordement  d'un point lumineux en applique commandé par un interrupteur va et vient;U;150;120;
ELE-024;Electricité;Fourniture,pose et raccordement d’un tableau de;u;0;60;
COM-001;"communication avec emplacement de boxe;U;300;";;u;0;60;
ELE-025;Electricité;Fourniture, tirage d'alimentation pour sèche serviette;U;195;120;
ELE-026;Electricité;Fourniture, tirage d'une alimentation pour VMC;U;195;120;
Mext;Menuiserie Ext;Fourniture de porte d'entrée loison Aluminium 900x2150 mm (modèle à confirmé);U;1725.3;120;
Mext;Menuiserie Ext;Fourniture et pose de moustiquaire PVC 120 x 74 :;u;0;60;
T-002;- Toile en fibre de verre noire;;u;0;60;
C-002;- Couleur profilés : RAL 7016 Satinée;;u;0;60;
E-001;"- Enroulement intérieur;U;172;";;u;0;60;
Mext;Menuiserie Ext;Fourniture et pose de moustiquaire velux;U;230;120;
Mext;Menuiserie Ext;Fourniture menuiserie PVC 120x74 :;u;0;60;
G-001;- Gamme NEO PRESTIGE 2;;u;0;60;
L-005;- Localisation : Cuisine;;u;0;60;
R-001;- RAL 7016;;u;0;60;
P-001;- Pose en applique;;u;0;60;
G-002;- Grille de ventilation auto-régulée 1 sur 2;;u;0;60;
U-001;- Uw = à 1.5W/m².K;;u;0;60;
S-001;- Sw = à 0.48;;u;0;60;
D-001;- Dormant 140;;u;0;60;
V-001;- Vitrage 4/20/4 LowE;;u;0;60;
E-002;- Ensemble du chassis : Vitrage LowE avec intercalaire Warm-Edge + ARGON;;u;0;60;
P-002;- Poignée tombante, coloris alu brossé;;u;0;60;
A-001;"- Avec Pare-empête;U;322;";;u;0;60;
Mext;Menuiserie Ext;Fourniture menuiserie pvc 2500x1150 3 vantaux compris volet extérieur motorisé;U;2297.7;120;
Mext;Menuiserie Ext;Fourniture menuiserie pvc blanc compris volet extérieur motorisé;u;0;60;
LOC-001;"Localisation : Cuisine/ Séjour;U;812.7;";;u;0;60;
Mext;Menuiserie Ext;Fourniture menuiserie pvc blanc;u;0;60;
LOC-002;"Localisation : Sdb/ WC;U;465.75;";;u;0;60;
Mext;Menuiserie Ext;Pose de menuiseries;U;150;120;
Mext;Menuiserie Ext;Pose de menuiseries compris volet;U;245;120;
Mint;Menuiserie Int;Fourniture et pose de blocs portes isoplanes 83 cm x 204 cm compris quincailleries;U;250;120;
Mint;Menuiserie Int;Fourniture et pose de Porte coulissante prépeinte acoustique 43db avec habillage acoustique couvre-joints intégrés et plinthes auto 204 ht x 123 larg;m²;1850;90;
Mint;Menuiserie Int;Réalisation de l'habillage du batî support sanitaire suspendu avec plaque haute dureté HABITO;F;255;180;
Platrerie;Plâtrerie;Fourniture et pose de blocs portes ISOPLANE AMES PLEINES;U;305;120;
Platrerie;Plâtrerie;Fourniture et pose de laine de verre GR32 en  120 mm;m²;21;90;
Platrerie;Plâtrerie;Fourniture et pose de porte coulissante;U;605;120;
Platrerie;Plâtrerie;Fourniture et pose de trappe de visite 30 x 30 laquée blanc;F;125;180;
Platrerie;Plâtrerie;Fourniture et pose d'un isolant alvéolaire hybris en 105 mm R=4,00 K/W;m²;19;90;
Platrerie;Plâtrerie;Fourniture et pose d'un isolant alvéolaire hybris en 60 + 125 mm R=6,10 K/W;m²;19;90;
Platrerie;Plâtrerie;Fourniture et pose d'un isolant laine de verre 200 mm R=6,00 K/W;m²;36;90;
PLA-001;Plâtrerie;Plus value pour plaques hydrofuges Pièces humides;m²;5;90;
PLA-002;Plâtrerie;Plus value pour plaques phonique;m²;7;90;
Platrerie;Plâtrerie;Réalisation de cloison séparative en 100 mm avec pose de plaques de plâtre BA 13 pour pose de porte à galandage;m²;38;90;
Platrerie;Plâtrerie;Réalisation de cloison séparative en 72/48 avec pose de plaques de plâtre BA13 vissées sur ossature métalique compris laine 45 mm;m²;41.5;90;
Platrerie;Plâtrerie;Réalisation de faux plafond suspendu rampant avec pose de BA13 vissées sur ossature métallique R+1;m²;35;90;
Platrerie;Plâtrerie;Réalisation de tête de lit 120 ht x 200 long x 20 cm ép;m²;150;90;
Platrerie;Plâtrerie;Réalisation d'un doublage de mur par pose de plaque de plâtre BA13 vissées sur ossature métallique;m²;41.5;90;
Platrerie;Plâtrerie;Traitement des joints de l'ensemble;m²;5;90;
PLO-001;Plomberie CVC;Création des réseaux de distribution eau chaude et eau froide;U;900;120;
PLO-002;Plomberie CVC;Création des réseaux de distribution eau chaude et eau froide;U;2400;120;
PLO-003;Plomberie CVC;Dépose et pose de la climatisation;F;250;180;
PLO-004;Plomberie CVC;Dispositif alimentation WC et robinet  avec EP cuve :;u;0;60;
C-003;- Compresseur;;u;0;60;
F-001;- Filtre;;u;0;60;
C-004;- Clapet anti-retour;;u;0;60;
F-002;"- Flotteur;U;648;";;u;0;60;
PLO-005;Plomberie CVC;Fourniture bati support et WC suspendu;U;444.15;120;
PLO-006;Plomberie CVC;Fourniture de caniveau encastrable;U;186;120;
PLO-007;Plomberie CVC;Fourniture de receveur de douche 90 x 90;U;253.5;120;
PLO-008;Plomberie CVC;Fourniture d'une paroi de baignoire amovible 105 x 140 cm;U;280;120;
PLO-009;Plomberie CVC;Fourniture d'une paroi de douche;U;280;120;
PLO-010;Plomberie CVC;Fourniture d'un mitigeur evier;U;50;120;
PLO-011;Plomberie CVC;Fourniture d'un robinet de salle de bain;U;50;120;
